time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
4.15956216e-09,4.48100000e-01,4.06600000e+03,1.53023049e-03,7.12940915e-01,7.12940915e-01,6.91379091e-02,2.76551637e-01,1.90104996e-04,2.28125996e-03,2.13194549e-06,2.77152914e-05,2.17802967e-08,2.83143857e-07,5.70958340e-05,7.99341676e-04,8.12139751e-08,1.21820963e-06,3.89924717e-13,5.45894604e-12,6.15581138e-09,9.23371707e-08,3.62073729e-04,5.79317966e-03,1.37772055e-07,2.34212494e-06,6.99792434e-07,1.25962638e-05,2.23700930e-10,3.80291582e-09,4.46814735e-13,8.04266524e-12,7.17611355e-05,1.43522271e-03
4.48362284e-09,4.48100000e-01,4.06600000e+03,1.44907129e-03,7.12940904e-01,7.12940904e-01,6.91379182e-02,2.76551673e-01,1.90110396e-04,2.28132475e-03,2.13191324e-06,2.77148721e-05,2.34776191e-08,3.05209049e-07,5.70953979e-05,7.99335571e-04,7.60999331e-08,1.14149900e-06,4.53054905e-13,6.34276866e-12,6.63536931e-09,9.95305397e-08,3.62073712e-04,5.79317940e-03,1.37760821e-07,2.34193396e-06,6.97800169e-07,1.25604030e-05,2.41128879e-10,4.09919095e-09,4.81528141e-13,8.66750653e-12,7.17611355e-05,1.43522271e-03
4.83293024e-09,4.48100000e-01,4.06600000e+03,1.37012127e-03,7.12940892e-01,7.12940892e-01,6.91379275e-02,2.76551710e-01,1.90115722e-04,2.28138867e-03,2.13187847e-06,2.77144201e-05,2.53072219e-08,3.28993884e-07,5.70949278e-05,7.99328990e-04,7.10746912e-08,1.06612037e-06,5.26406382e-13,7.36968935e-12,7.15228426e-09,1.07284264e-07,3.62073695e-04,5.79317911e-03,1.37748713e-07,2.34172812e-06,6.95659044e-07,1.25218628e-05,2.59914593e-10,4.41854808e-09,5.18930338e-13,9.34074609e-12,7.17611355e-05,1.43522271e-03
5.20945127e-09,4.48100000e-01,4.06600000e+03,1.29401440e-03,7.12940880e-01,7.12940880e-01,6.91379370e-02,2.76551748e-01,1.90120943e-04,2.28145132e-03,2.13184099e-06,2.77139329e-05,2.72794127e-08,3.54632365e-07,5.70944211e-05,7.99321896e-04,6.61715379e-08,9.92573069e-07,6.11634088e-13,8.56287724e-12,7.70946594e-09,1.15641989e-07,3.62073676e-04,5.79317881e-03,1.37735662e-07,2.34150626e-06,6.93358467e-07,1.24804524e-05,2.80163851e-10,4.76278546e-09,5.59228279e-13,1.00661090e-11,7.17611355e-05,1.43522271e-03
5.61530608e-09,4.48100000e-01,4.06600000e+03,1.22138760e-03,7.12940867e-01,7.12940867e-01,6.91379467e-02,2.76551787e-01,1.90126025e-04,2.28151229e-03,2.13180060e-06,2.77134077e-05,2.94053022e-08,3.82268929e-07,5.70938750e-05,7.99314249e-04,6.14237011e-08,9.21355517e-07,7.10660909e-13,9.94925273e-12,8.31005067e-09,1.24650760e-07,3.62073655e-04,5.79317848e-03,1.37721596e-07,2.34126714e-06,6.90887177e-07,1.24359692e-05,3.01990674e-10,5.13384146e-09,6.02644632e-13,1.08476034e-11,7.17611355e-05,1.43522271e-03
6.05277998e-09,4.48100000e-01,4.06600000e+03,1.15286662e-03,7.12940855e-01,7.12940855e-01,6.91379566e-02,2.76551826e-01,1.90130935e-04,2.28157122e-03,2.13175705e-06,2.77128417e-05,3.16968661e-08,4.12059260e-07,5.70932862e-05,7.99306007e-04,5.68635259e-08,8.52952888e-07,8.25721061e-13,1.15600949e-11,8.95741897e-09,1.34361285e-07,3.62073633e-04,5.79317812e-03,1.37706436e-07,2.34100942e-06,6.88233219e-07,1.23881979e-05,3.25517966e-10,5.53380542e-09,6.49418940e-13,1.16895409e-11,7.17611355e-05,1.43522271e-03
6.52433633e-09,4.48100000e-01,4.06600000e+03,1.08905071e-03,7.12940841e-01,7.12940841e-01,6.91379666e-02,2.76551866e-01,1.90135642e-04,2.28162771e-03,2.13171012e-06,2.77122316e-05,3.41670126e-08,4.44171164e-07,5.70926517e-05,7.99297123e-04,5.25215793e-08,7.87823689e-07,9.59410491e-13,1.34317469e-11,9.65521459e-09,1.44828219e-07,3.62073609e-04,5.79317774e-03,1.37690097e-07,2.34073165e-06,6.85383914e-07,1.23369104e-05,3.50878206e-10,5.96492950e-09,6.99808857e-13,1.25965594e-11,7.17611355e-05,1.43522271e-03
7.03263041e-09,4.48100000e-01,4.06600000e+03,1.03049648e-03,7.12940828e-01,7.12940828e-01,6.91379768e-02,2.76551907e-01,1.90140119e-04,2.28168143e-03,2.13165953e-06,2.77115739e-05,3.68296549e-08,4.78785513e-07,5.70919677e-05,7.99287547e-04,4.84257078e-08,7.26385618e-07,1.11474544e-12,1.56064362e-11,1.04073650e-08,1.56110475e-07,3.62073583e-04,5.79317733e-03,1.37672487e-07,2.34043227e-06,6.82325836e-07,1.22818650e-05,3.78214193e-10,6.42964128e-09,7.54091478e-13,1.35736466e-11,7.17611355e-05,1.43522271e-03
7.58052437e-09,4.48100000e-01,4.06600000e+03,9.77701706e-04,7.12940813e-01,7.12940813e-01,6.91379872e-02,2.76551949e-01,1.90144341e-04,2.28173209e-03,2.13160500e-06,2.77108651e-05,3.96997892e-08,5.16097259e-07,5.70912304e-05,7.99277225e-04,4.46000912e-08,6.69001368e-07,1.29523049e-12,1.81332268e-11,1.12181034e-08,1.68271550e-07,3.62073555e-04,5.79317688e-03,1.37653507e-07,2.34010962e-06,6.79044790e-07,1.22228062e-05,4.07679852e-10,6.93055749e-09,8.12564744e-13,1.46261654e-11,7.17611355e-05,1.43522271e-03
8.17110332e-09,4.48100000e-01,4.06600000e+03,9.31089976e-04,7.12940799e-01,7.12940799e-01,6.91379978e-02,2.76551991e-01,1.90148285e-04,2.28177942e-03,2.13154623e-06,2.77101010e-05,4.27935794e-08,5.56316532e-07,5.70904356e-05,7.99266099e-04,4.10643412e-08,6.15965118e-07,1.50493760e-12,2.10691264e-11,1.20919926e-08,1.81379888e-07,3.62073525e-04,5.79317640e-03,1.37633052e-07,2.33976188e-06,6.75525793e-07,1.21594643e-05,4.39441101e-10,7.47049872e-09,8.75548950e-13,1.57598811e-11,7.17611355e-05,1.43522271e-03
