time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
6.30229527e-09,1.99999996e-01,1.49999991e+04,3.72096985e-03,7.12941119e-01,7.12941119e-01,6.91377336e-02,2.76550934e-01,1.89973358e-04,2.27968029e-03,2.13235527e-06,2.77206185e-05,1.23572249e-10,1.60643924e-09,5.71014071e-05,7.99419699e-04,2.12442745e-07,3.18664117e-06,9.40429496e-18,1.31660129e-16,2.98690596e-11,4.48035894e-10,3.62073933e-04,5.79318293e-03,1.37915658e-07,2.34456618e-06,7.21966608e-07,1.29953989e-05,2.96666013e-12,5.04332222e-11,1.35579533e-15,2.44043159e-14,7.17611355e-05,1.43522271e-03
6.71533479e-09,1.99999996e-01,1.49999990e+04,3.72386344e-03,7.12941119e-01,7.12941119e-01,6.91377340e-02,2.76550936e-01,1.89973440e-04,2.27968128e-03,2.13235499e-06,2.77206148e-05,1.31670948e-10,1.71172232e-09,5.71014054e-05,7.99419676e-04,2.12606010e-07,3.18909015e-06,1.06773663e-17,1.49483128e-16,3.18266157e-11,4.77399236e-10,3.62073933e-04,5.79318293e-03,1.37915613e-07,2.34456542e-06,7.21711166e-07,1.29908010e-05,3.16108893e-12,5.37385118e-11,1.44465077e-15,2.60037139e-14,7.17611355e-05,1.43522271e-03
7.15544407e-09,1.99999995e-01,1.49999989e+04,3.72694361e-03,7.12941118e-01,7.12941118e-01,6.91377343e-02,2.76550937e-01,1.89973528e-04,2.27968234e-03,2.13235469e-06,2.77206109e-05,1.40300422e-10,1.82390549e-09,5.71014037e-05,7.99419652e-04,2.12779799e-07,3.19169699e-06,1.21227750e-17,1.69718849e-16,3.39124660e-11,5.08686990e-10,3.62073933e-04,5.79318292e-03,1.37915566e-07,2.34456462e-06,7.21439083e-07,1.29859035e-05,3.36826019e-12,5.72604232e-11,1.53932954e-15,2.77079317e-14,7.17611355e-05,1.43522271e-03
7.62439721e-09,1.99999995e-01,1.49999989e+04,3.73022215e-03,7.12941118e-01,7.12941118e-01,6.91377347e-02,2.76550939e-01,1.89973622e-04,2.27968347e-03,2.13235437e-06,2.77206068e-05,1.49495459e-10,1.94344097e-09,5.71014018e-05,7.99419626e-04,2.12964779e-07,3.19447168e-06,1.37638506e-17,1.92693908e-16,3.61350184e-11,5.42025277e-10,3.62073932e-04,5.79318292e-03,1.37915515e-07,2.34456376e-06,7.21149281e-07,1.29806870e-05,3.58900902e-12,6.10131533e-11,1.64021327e-15,2.95238388e-14,7.17611355e-05,1.43522271e-03
8.12408458e-09,1.99999995e-01,1.49999988e+04,3.73371160e-03,7.12941118e-01,7.12941118e-01,6.91377351e-02,2.76550941e-01,1.89973723e-04,2.27968467e-03,2.13235403e-06,2.77206024e-05,1.59293125e-10,2.07081062e-09,5.71013999e-05,7.99419598e-04,2.13161656e-07,3.19742484e-06,1.56270809e-17,2.18779132e-16,3.85032323e-11,5.77548484e-10,3.62073932e-04,5.79318292e-03,1.37915461e-07,2.34456284e-06,7.20840613e-07,1.29751310e-05,3.82422528e-12,6.50118297e-11,1.74770861e-15,3.14587549e-14,7.17611355e-05,1.43522271e-03
8.65652043e-09,1.99999994e-01,1.49999987e+04,3.73742526e-03,7.12941117e-01,7.12941117e-01,6.91377356e-02,2.76550942e-01,1.89973829e-04,2.27968595e-03,2.13235367e-06,2.77205976e-05,1.69732914e-10,2.20652788e-09,5.71013978e-05,7.99419569e-04,2.13371180e-07,3.20056770e-06,1.77425392e-17,2.48395549e-16,4.10266539e-11,6.15399808e-10,3.62073932e-04,5.79318291e-03,1.37915404e-07,2.34456187e-06,7.20511862e-07,1.29692135e-05,4.07485712e-12,6.92725710e-11,1.86224885e-15,3.35204793e-14,7.17611355e-05,1.43522271e-03
9.22385104e-09,1.99999994e-01,1.49999986e+04,3.74137721e-03,7.12941117e-01,7.12941117e-01,6.91377361e-02,2.76550944e-01,1.89973943e-04,2.27968732e-03,2.13235328e-06,2.77205926e-05,1.80856912e-10,2.35113986e-09,5.71013955e-05,7.99419537e-04,2.13594144e-07,3.20391216e-06,2.01443702e-17,2.82021182e-16,4.37154551e-11,6.55731827e-10,3.62073932e-04,5.79318291e-03,1.37915343e-07,2.34456083e-06,7.20161731e-07,1.29629111e-05,4.34191485e-12,7.38125525e-11,1.98429569e-15,3.57173224e-14,7.17611355e-05,1.43522271e-03
9.82836333e-09,1.99999993e-01,1.49999985e+04,3.74558238e-03,7.12941116e-01,7.12941116e-01,6.91377366e-02,2.76550946e-01,1.89974065e-04,2.27968878e-03,2.13235287e-06,2.77205873e-05,1.92709961e-10,2.50522950e-09,5.71013931e-05,7.99419504e-04,2.13831391e-07,3.20747087e-06,2.28713404e-17,3.20198765e-16,4.65804747e-11,6.98707121e-10,3.62073931e-04,5.79318290e-03,1.37915278e-07,2.34455972e-06,7.19788839e-07,1.29561991e-05,4.62647500e-12,7.86500749e-11,2.11434107e-15,3.80581393e-14,7.17611355e-05,1.43522271e-03
1.04724941e-08,1.99999993e-01,1.49999984e+04,3.75005659e-03,7.12941115e-01,7.12941115e-01,6.91377371e-02,2.76550948e-01,1.89974195e-04,2.27969034e-03,2.13235243e-06,2.77205816e-05,2.05339843e-10,2.66941796e-09,5.71013906e-05,7.99419468e-04,2.14083813e-07,3.21125719e-06,2.59674645e-17,3.63544503e-16,4.96332616e-11,7.44498924e-10,3.62073931e-04,5.79318290e-03,1.37915208e-07,2.34455854e-06,7.19391722e-07,1.29490510e-05,4.92968462e-12,8.38046385e-11,2.25290919e-15,4.05523655e-14,7.17611355e-05,1.43522271e-03
1.11588399e-08,1.99999993e-01,1.49999983e+04,3.75481660e-03,7.12941115e-01,7.12941115e-01,6.91377377e-02,2.76550951e-01,1.89974333e-04,2.27969200e-03,2.13235196e-06,2.77205755e-05,2.18797470e-10,2.84436711e-09,5.71013879e-05,7.99419430e-04,2.14352353e-07,3.21528530e-06,2.94827155e-17,4.12758017e-16,5.28861216e-11,7.93291824e-10,3.62073931e-04,5.79318289e-03,1.37915135e-07,2.34455729e-06,7.18968819e-07,1.29414387e-05,5.25276597e-12,8.92970215e-11,2.40055858e-15,4.32100545e-14,7.17611355e-05,1.43522271e-03
