time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
3.19085800e-05,9.12800038e-02,2.21099995e+04,3.71617331e-03,7.11584051e-01,7.11584051e-01,6.90061336e-02,2.76024535e-01,1.89611922e-04,2.27534306e-03,2.12826312e-06,2.76674205e-05,1.04233998e-09,1.35504198e-08,5.69927715e-05,7.97898801e-04,2.11787572e-07,3.17681358e-06,3.11295308e-16,4.35813431e-15,7.44484316e-12,1.11672647e-10,3.61384730e-04,5.78215567e-03,1.37653269e-07,2.34010557e-06,7.19744297e-07,1.29553973e-05,8.34610139e-12,1.41883724e-10,4.06403451e-15,7.31526212e-14,7.16245400e-05,1.43249080e-03
3.38144908e-05,9.12800040e-02,2.21099995e+04,3.71851295e-03,7.11584051e-01,7.11584051e-01,6.90061341e-02,2.76024536e-01,1.89612008e-04,2.27534409e-03,2.12826087e-06,2.76673914e-05,1.10459956e-09,1.43597943e-08,5.69927733e-05,7.97898826e-04,2.11920476e-07,3.17880714e-06,3.49593532e-16,4.89430945e-15,7.88952646e-12,1.18342897e-10,3.61384729e-04,5.78215567e-03,1.37653236e-07,2.34010501e-06,7.19461597e-07,1.29503087e-05,8.84461699e-12,1.50358489e-10,4.30677830e-15,7.75220093e-14,7.16245400e-05,1.43249080e-03
3.58342423e-05,9.12800043e-02,2.21099995e+04,3.72098845e-03,7.11584050e-01,7.11584050e-01,6.90061345e-02,2.76024538e-01,1.89612099e-04,2.27534518e-03,2.12825850e-06,2.76673605e-05,1.17057795e-09,1.52175134e-08,5.69927753e-05,7.97898854e-04,2.12061098e-07,3.18091646e-06,3.92603537e-16,5.49644952e-15,8.36077087e-12,1.25411563e-10,3.61384729e-04,5.78215566e-03,1.37653201e-07,2.34010442e-06,7.19162132e-07,1.29449184e-05,9.37290912e-12,1.59339455e-10,4.56402095e-15,8.21523772e-14,7.16245400e-05,1.43249080e-03
3.79746342e-05,9.12800045e-02,2.21099994e+04,3.72360744e-03,7.11584049e-01,7.11584049e-01,6.90061350e-02,2.76024540e-01,1.89612195e-04,2.27534634e-03,2.12825598e-06,2.76673277e-05,1.24049729e-09,1.61264647e-08,5.69927773e-05,7.97898882e-04,2.12209869e-07,3.18314804e-06,4.40905008e-16,6.17267011e-15,8.86016290e-12,1.32902443e-10,3.61384728e-04,5.78215565e-03,1.37653165e-07,2.34010380e-06,7.18844916e-07,1.29392085e-05,9.93275632e-12,1.68856857e-10,4.83662847e-15,8.70593124e-14,7.16245400e-05,1.43249080e-03
4.02428726e-05,9.12800048e-02,2.21099994e+04,3.72637796e-03,7.11584049e-01,7.11584049e-01,6.90061355e-02,2.76024542e-01,1.89612298e-04,2.27534757e-03,2.12825331e-06,2.76672930e-05,1.31459297e-09,1.70897086e-08,5.69927795e-05,7.97898913e-04,2.12367248e-07,3.18550872e-06,4.95148946e-16,6.93208525e-15,9.38938382e-12,1.40840757e-10,3.61384728e-04,5.78215564e-03,1.37653126e-07,2.34010314e-06,7.18508905e-07,1.29331603e-05,1.05260434e-11,1.78942738e-10,5.12551855e-15,9.22593339e-14,7.16245400e-05,1.43249080e-03
4.26465936e-05,9.12800051e-02,2.21099994e+04,3.72930847e-03,7.11584048e-01,7.11584048e-01,6.90061361e-02,2.76024544e-01,1.89612407e-04,2.27534888e-03,2.12825048e-06,2.76672562e-05,1.39311446e-09,1.81104879e-08,5.69927818e-05,7.97898945e-04,2.12533714e-07,3.18800571e-06,5.56066449e-16,7.78493028e-15,9.95021533e-12,1.49253230e-10,3.61384727e-04,5.78215563e-03,1.37653084e-07,2.34010244e-06,7.18152996e-07,1.29267539e-05,1.11547677e-11,1.89631051e-10,5.43166371e-15,9.77699468e-14,7.16245400e-05,1.43249080e-03
4.51938897e-05,9.12800054e-02,2.21099993e+04,3.73240786e-03,7.11584048e-01,7.11584048e-01,6.90061366e-02,2.76024547e-01,1.89612522e-04,2.27535027e-03,2.12824748e-06,2.76672173e-05,1.47632610e-09,1.91922394e-08,5.69927843e-05,7.97898980e-04,2.12709771e-07,3.19064657e-06,6.24478556e-16,8.74269978e-15,1.05445455e-11,1.58168183e-10,3.61384727e-04,5.78215562e-03,1.37653041e-07,2.34010169e-06,7.17776020e-07,1.29199684e-05,1.18210460e-11,2.00957782e-10,5.75609456e-15,1.03609702e-13,7.16245400e-05,1.43249080e-03
4.78933367e-05,9.12800057e-02,2.21099993e+04,3.73568546e-03,7.11584047e-01,7.11584047e-01,6.90061372e-02,2.76024549e-01,1.89612645e-04,2.27535174e-03,2.12824431e-06,2.76671760e-05,1.56450807e-09,2.03386049e-08,5.69927868e-05,7.97899016e-04,2.12895951e-07,3.19343926e-06,7.01307321e-16,9.81830250e-15,1.11743753e-11,1.67615630e-10,3.61384726e-04,5.78215561e-03,1.37652994e-07,2.34010091e-06,7.17376743e-07,1.29127814e-05,1.25271213e-11,2.12961062e-10,6.09990324e-15,1.09798258e-13,7.16245400e-05,1.43249080e-03
5.07540226e-05,9.12800060e-02,2.21099992e+04,3.73915107e-03,7.11584046e-01,7.11584046e-01,6.90061379e-02,2.76024552e-01,1.89612775e-04,2.27535330e-03,2.12824094e-06,2.76671322e-05,1.65795723e-09,2.15534440e-08,5.69927896e-05,7.97899054e-04,2.13092809e-07,3.19639213e-06,7.87588238e-16,1.10262353e-14,1.18418251e-11,1.77627377e-10,3.61384725e-04,5.78215560e-03,1.37652945e-07,2.34010007e-06,7.16953860e-07,1.29051695e-05,1.32753707e-11,2.25681302e-10,6.46424713e-15,1.16356448e-13,7.16245400e-05,1.43249080e-03
5.37855783e-05,9.12800064e-02,2.21099992e+04,3.74281499e-03,7.11584045e-01,7.11584045e-01,6.90061386e-02,2.76024554e-01,1.89612913e-04,2.27535495e-03,2.12823737e-06,2.76670858e-05,1.75698822e-09,2.28408468e-08,5.69927925e-05,7.97899095e-04,2.13300929e-07,3.19951394e-06,8.84484195e-16,1.23827787e-14,1.25491420e-11,1.88237130e-10,3.61384725e-04,5.78215559e-03,1.37652893e-07,2.34009919e-06,7.16505990e-07,1.28971078e-05,1.40683134e-11,2.39161327e-10,6.85035274e-15,1.23306349e-13,7.16245400e-05,1.43249080e-03
5.69982099e-05,9.12800068e-02,2.21099991e+04,3.74668801e-03,7.11584044e-01,7.11584044e-01,6.90061393e-02,2.76024557e-01,1.89613059e-04,2.27535671e-03,2.12823359e-06,2.76670367e-05,1.86193443e-09,2.42051476e-08,5.69927956e-05,7.97899138e-04,2.13520925e-07,3.20281388e-06,9.93301151e-16,1.39062161e-14,1.32987072e-11,1.99480608e-10,3.61384724e-04,5.78215558e-03,1.37652838e-07,2.34009825e-06,7.16031674e-07,1.28885701e-05,1.49086187e-11,2.53446519e-10,7.25951982e-15,1.30671357e-13,7.16245400e-05,1.43249080e-03
6.04027332e-05,9.12800072e-02,2.21099991e+04,3.75078142e-03,7.11584044e-01,7.11584044e-01,6.90061401e-02,2.76024560e-01,1.89613215e-04,2.27535858e-03,2.12822958e-06,2.76669846e-05,1.97314920e-09,2.56509397e-08,5.69927989e-05,7.97899184e-04,2.13753438e-07,3.20630157e-06,1.11550573e-15,1.56170803e-14,1.40930443e-11,2.11395664e-10,3.61384723e-04,5.78215557e-03,1.37652780e-07,2.34009726e-06,7.15529369e-07,1.28795286e-05,1.57991159e-11,2.68584970e-10,7.69312574e-15,1.38476263e-13,7.16245401e-05,1.43249080e-03
